"Analysis_ID","Time_Label","Time_Order_Resolved","Factor_Level","PreBind_Status","PostBind_Factor_Level","PostBind_Rank","PostBind_Status","Status"
"T01_PRJEB33360_Longitudinal_Main","M1_initial",1,1,"PASS",1,1,"PASS","PASS"
"T01_PRJEB33360_Longitudinal_Main","M2.5_ICU_day5",2,2,"PASS",2,2,"PASS","PASS"
"T01_PRJEB33360_Longitudinal_Main","M2.6_ICU_day6",3,3,"PASS",3,3,"PASS","PASS"
"T01_PRJEB33360_Longitudinal_Main","M2.7_ICU_day7",4,4,"PASS",4,4,"PASS","PASS"
"T01_PRJEB33360_Longitudinal_Main","M3_discharge",5,5,"PASS",5,5,"PASS","PASS"
"T02_PRJEB33360_Longitudinal_DepthSensitivity","M1_initial",1,1,"PASS",1,1,"PASS","PASS"
"T02_PRJEB33360_Longitudinal_DepthSensitivity","M2.5_ICU_day5",2,2,"PASS",2,2,"PASS","PASS"
"T02_PRJEB33360_Longitudinal_DepthSensitivity","M2.6_ICU_day6",3,3,"PASS",3,3,"PASS","PASS"
"T02_PRJEB33360_Longitudinal_DepthSensitivity","M2.7_ICU_day7",4,4,"PASS",4,4,"PASS","PASS"
"T02_PRJEB33360_Longitudinal_DepthSensitivity","M3_discharge",5,5,"PASS",5,5,"PASS","PASS"
"T03_PRJNA691455_Sepsis_Longitudinal","Day 1",1,1,"PASS",7,1,"PASS","PASS"
"T03_PRJNA691455_Sepsis_Longitudinal","Day 3",2,2,"PASS",8,2,"PASS","PASS"
"T03_PRJNA691455_Sepsis_Longitudinal","Day 7",3,3,"PASS",9,3,"PASS","PASS"
"T04_PRJNA430161_Intervention","Baseline",1,1,"PASS",6,1,"PASS","PASS"
"T04_PRJNA430161_Intervention","Day 7",2,2,"PASS",9,2,"PASS","PASS"
"T04_PRJNA430161_Intervention","Day 28",3,3,"PASS",10,3,"PASS","PASS"
"T05_PRJNA797231_Myocardial_Dysfunction","ICU admission",1,1,"PASS",11,1,"PASS","PASS"
"T06_PRJNA912621_Cholestasis_Longitudinal","Day 1",1,1,"PASS",7,1,"PASS","PASS"
"T06_PRJNA912621_Cholestasis_Longitudinal","Day 3",2,2,"PASS",8,2,"PASS","PASS"
"T06_PRJNA912621_Cholestasis_Longitudinal","Day 7",3,3,"PASS",9,3,"PASS","PASS"
