"Analysis_ID","Metric","Stratifier","Stratum","Baseline","Followup","Paired_N","Median_Baseline","Median_Followup","Median_Change","Mean_Change","Wilcoxon_V","P","Status","P_FDR"
"T01_PRJEB33360_Longitudinal_Main","Alpha_Observed","None","All","M1_initial","M2.5_ICU_day5",30,52.5,45.5,-3,-3.8,162.5,0.362230712007297,"PASS",0.581182351984624
"T01_PRJEB33360_Longitudinal_Main","Alpha_Observed","None","All","M1_initial","M2.6_ICU_day6",23,53,36,-9,-8.78260869565217,74.5,0.0552201608170944,"PASS",0.268651707929573
"T01_PRJEB33360_Longitudinal_Main","Alpha_Observed","None","All","M1_initial","M2.7_ICU_day7",25,60,35,-22,-19.32,52,0.00928492501050594,"PASS",0.0894782776490703
"T01_PRJEB33360_Longitudinal_Main","Alpha_Observed","None","All","M1_initial","M3_discharge",3,58,33,-29,-15.6666666666667,1,0.422678074170635,"REVIEW_SMALL_PAIRED_N",0.581182351984624
"T01_PRJEB33360_Longitudinal_Main","Alpha_Shannon","None","All","M1_initial","M2.5_ICU_day5",30,2.57741567169002,2.2173983411822,-0.412086806209419,-0.194693312228804,189,0.376459497820036,"PASS",0.581182351984624
"T01_PRJEB33360_Longitudinal_Main","Alpha_Shannon","None","All","M1_initial","M2.6_ICU_day6",23,2.58794261060788,2.22683625980446,-0.134759255957151,-0.161340308692747,113,0.456171159984014,"PASS",0.608228213312019
"T01_PRJEB33360_Longitudinal_Main","Alpha_Shannon","None","All","M1_initial","M2.7_ICU_day7",25,2.64399087224118,1.51834394707178,-0.905321407291781,-0.746909404134283,63,0.00772670980937454,"PASS",0.0894782776490703
"T01_PRJEB33360_Longitudinal_Main","Alpha_Shannon","None","All","M1_initial","M3_discharge",3,2.64399087224118,1.67679158431367,-0.373812872747891,-0.893016069497765,1,0.422678074170635,"REVIEW_SMALL_PAIRED_N",0.581182351984624
"T01_PRJEB33360_Longitudinal_Main","Alpha_InverseSimpson","None","All","M1_initial","M2.5_ICU_day5",30,6.88429487163939,4.03769879022595,-2.91511455276488,-2.17773446035827,151,0.0957063463571928,"PASS",0.280738615981099
"T01_PRJEB33360_Longitudinal_Main","Alpha_InverseSimpson","None","All","M1_initial","M2.6_ICU_day6",23,7.03586483133166,5.25558849623656,-1.73164934291353,-1.76837315398817,80,0.0803152550124048,"PASS",0.271836247734293
"T01_PRJEB33360_Longitudinal_Main","Alpha_InverseSimpson","None","All","M1_initial","M2.7_ICU_day7",25,6.73272491194713,2.19156219121705,-3.1187590221745,-3.27401698722444,57,0.00472473171731758,"PASS",0.0894782776490703
"T01_PRJEB33360_Longitudinal_Main","Alpha_InverseSimpson","None","All","M1_initial","M3_discharge",3,10.026495773151,2.542107776305,-1.3014935367148,-3.56532004103611,0,0.18144920772142,"REVIEW_SMALL_PAIRED_N",0.38017929236869
"T01_PRJEB33360_Longitudinal_Main","SDI_Equal_Balance","None","All","M1_initial","M2.5_ICU_day5",30,0.244555145758596,0.632484899991593,0.929919488674529,0.620407994067388,284,0.29418488083351,"PASS",0.497851336795171
"T01_PRJEB33360_Longitudinal_Main","SDI_Equal_Balance","None","All","M1_initial","M2.6_ICU_day6",23,0.340780034353241,1.9058951266084,0.780936423184169,1.60537289037772,200,0.0614116944970624,"PASS",0.268651707929573
"T01_PRJEB33360_Longitudinal_Main","SDI_Equal_Balance","None","All","M1_initial","M2.7_ICU_day7",25,0.589732377306989,1.0729586082894,0.677231627737383,0.668179512515646,194,0.404216597640974,"PASS",0.581182351984624
"T01_PRJEB33360_Longitudinal_Main","SDI_Equal_Balance","None","All","M1_initial","M3_discharge",3,2.7590525908106,-0.318503815009145,-4.50279463730321,-3.96796385590795,0,0.18144920772142,"REVIEW_SMALL_PAIRED_N",0.38017929236869
"T01_PRJEB33360_Longitudinal_Main","SDI_MetaWeighted_Balance","None","All","M1_initial","M2.5_ICU_day5",30,-0.308911214329566,-0.0843971664039551,0.933551994005671,0.690107284125458,289,0.249392168931491,"PASS",0.453985376680676
"T01_PRJEB33360_Longitudinal_Main","SDI_MetaWeighted_Balance","None","All","M1_initial","M2.6_ICU_day6",23,1.11022302462516e-16,1.32620166878143,1.52765266274728,1.80657422453768,204,0.046351373591563,"PASS",0.255577485405711
"T01_PRJEB33360_Longitudinal_Main","SDI_MetaWeighted_Balance","None","All","M1_initial","M2.7_ICU_day7",25,1.11022302462516e-16,0.537084489047665,1.41262293416189,0.846077911750195,208,0.225967837200517,"PASS",0.451935674401034
"T01_PRJEB33360_Longitudinal_Main","SDI_MetaWeighted_Balance","None","All","M1_initial","M3_discharge",3,2.57473750132837,-0.714262721013457,-4.97911587668217,-4.19353156455812,0,0.18144920772142,"REVIEW_SMALL_PAIRED_N",0.38017929236869
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Bilophila.Family__Desulfovibrionaceae","None","All","M1_initial","M2.5_ICU_day5",30,3.13010029699311,3.16492041956283,0.172854059940587,-0.0331175859051743,250,0.726592548479803,"PASS",0.847019345119717
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Bilophila.Family__Desulfovibrionaceae","None","All","M1_initial","M2.6_ICU_day6",23,3.67039084477246,2.97559218132655,-0.0146309503541771,-0.408813926805122,128,0.772625719825572,"PASS",0.847019345119717
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Bilophila.Family__Desulfovibrionaceae","None","All","M1_initial","M2.7_ICU_day7",25,4.09582533207768,1.69552972916717,-0.931424236568819,-1.42121042278813,77,0.0221907163701582,"PASS",0.162731920047827
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Bilophila.Family__Desulfovibrionaceae","None","All","M1_initial","M3_discharge",3,5.04826283559207,2.40008761093818,-0.198901902490752,-2.35436643156258,2,0.789268026134281,"REVIEW_SMALL_PAIRED_N",0.847019345119717
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Butyricimonas.Family__Marinifilaceae","None","All","M1_initial","M2.5_ICU_day5",30,2.30860733358623,1.18870972251744,-0.0346232343893584,-0.362502060537653,204,0.564673648890418,"PASS",0.690156681977177
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Butyricimonas.Family__Marinifilaceae","None","All","M1_initial","M2.6_ICU_day6",23,1.45980622755046,2.24285120046328,-0.0261633855591625,0.101531913234598,141,0.939389356873358,"PASS",0.961235620986692
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Butyricimonas.Family__Marinifilaceae","None","All","M1_initial","M2.7_ICU_day7",25,2.43128984194079,-0.136320700804466,-0.458482137233195,-0.763273109150686,119,0.247273502000825,"PASS",0.453985376680676
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Butyricimonas.Family__Marinifilaceae","None","All","M1_initial","M3_discharge",3,2.59789651105624,-0.40052335863712,-2.99841986969336,-2.34643060407866,0,0.18144920772142,"REVIEW_SMALL_PAIRED_N",0.38017929236869
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Parabacteroides.Family__Tannerellaceae","None","All","M1_initial","M2.5_ICU_day5",30,5.26951782142333,5.84503835016524,0.796251810963676,0.854076335224271,322,0.0671629269823934,"PASS",0.268651707929573
"T01_PRJEB33360_Longitudinal_Main","CandidateSignedCLR__Genus__Parabacteroides.Family__Tannerellaceae","None","All","M1_initial","M2.6_ICU_day6",23,5.17458654447362,5.11531172306569,0.579872971074529,0.647672378054491,161,0.493762736661269,"PASS",0.620730297517024
