"Result_Category","Analysis_ID","Metric","Model_Term","Num_DF","Den_DF","F_Value","P","P_FDR","N","Patients_N","Status"
"Primary longitudinal","T01_PRJEB33360_Longitudinal_Main","Alpha_Observed","Timepoint_Factor",4,83,5.40963369016949,0.000639719759785606,0.00703691735764167,130,43,"PASS"
"Primary longitudinal","T01_PRJEB33360_Longitudinal_Main","Alpha_Shannon","Timepoint_Factor",4,83,4.51759346995961,0.00237219930296351,0.0126333327468126,130,43,"PASS"
"Primary longitudinal","T01_PRJEB33360_Longitudinal_Main","Alpha_InverseSimpson","Timepoint_Factor",4,83,4.16942953675024,0.00398051507063435,0.0126333327468126,130,43,"PASS"
"Primary longitudinal","T01_PRJEB33360_Longitudinal_Main","SDI_Equal_Balance","Timepoint_Factor",4,83,2.17976055598121,0.0783151328252621,0.107683307634735,130,43,"PASS"
"Primary longitudinal","T01_PRJEB33360_Longitudinal_Main","SDI_MetaWeighted_Balance","Timepoint_Factor",4,83,2.51708868452315,0.0474235978476927,0.0869432627207699,130,43,"PASS"
"Depth sensitivity","T02_PRJEB33360_Longitudinal_DepthSensitivity","Alpha_Observed","Timepoint_Factor",4,80,5.04800878899679,0.00111548480808266,0.0122703328889092,127,43,"PASS"
"Depth sensitivity","T02_PRJEB33360_Longitudinal_DepthSensitivity","Alpha_Shannon","Timepoint_Factor",4,80,4.1052956030361,0.00446147746814574,0.0213606283719827,127,43,"PASS"
"Depth sensitivity","T02_PRJEB33360_Longitudinal_DepthSensitivity","Alpha_InverseSimpson","Timepoint_Factor",4,80,3.86180924708517,0.00640613755636532,0.0213606283719827,127,43,"PASS"
"Depth sensitivity","T02_PRJEB33360_Longitudinal_DepthSensitivity","SDI_Equal_Balance","Timepoint_Factor",4,80,1.96054213280718,0.1085153835403,0.149208652367912,127,43,"PASS"
"Depth sensitivity","T02_PRJEB33360_Longitudinal_DepthSensitivity","SDI_MetaWeighted_Balance","Timepoint_Factor",4,80,2.25403754534855,0.0705122709163849,0.129272496680039,127,43,"PASS"
"Independent longitudinal support","T03_PRJNA691455_Sepsis_Longitudinal","Alpha_Observed","Timepoint_Factor",2,17,2.04426130727309,0.160111862027248,0.442877434865038,29,10,"PASS"
"Independent longitudinal support","T03_PRJNA691455_Sepsis_Longitudinal","Alpha_Shannon","Timepoint_Factor",2,17,3.38757395041669,0.0577787843013341,0.317783313657338,29,10,"PASS"
"Independent longitudinal support","T03_PRJNA691455_Sepsis_Longitudinal","Alpha_InverseSimpson","Timepoint_Factor",2,17,2.03704475395703,0.161046339950923,0.442877434865038,29,10,"PASS"
"Independent longitudinal support","T03_PRJNA691455_Sepsis_Longitudinal","SDI_Equal_Balance","Timepoint_Factor",2,17,0.0311755627936607,0.969360667277432,0.969360667277432,29,10,"PASS"
"Independent longitudinal support","T03_PRJNA691455_Sepsis_Longitudinal","SDI_MetaWeighted_Balance","Timepoint_Factor",2,17,0.0326362427595125,0.967951062450941,0.969360667277432,29,10,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_Observed","Timepoint_Factor",2,13,4.24692447162861,0.0380705840588411,0.369801460717769,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_Observed","Arm_Factor",1,7,0.0183406967365709,0.896085749815863,0.996730425949242,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_Observed","Timepoint_Factor:Arm_Factor",2,13,1.61359634013951,0.236619065977243,0.649788285438727,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_Shannon","Timepoint_Factor",2,13,2.59861314222236,0.11235645250247,0.539310972011856,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_Shannon","Arm_Factor",1,7,0.0569328940669432,0.818245673010435,0.996730425949242,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_Shannon","Timepoint_Factor:Arm_Factor",2,13,1.19258664767558,0.334554009665707,0.649788285438727,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_InverseSimpson","Timepoint_Factor",2,13,4.2949297414128,0.0369834981806975,0.369801460717769,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_InverseSimpson","Arm_Factor",1,7,0.00764664595259509,0.932766674004468,0.996730425949242,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","Alpha_InverseSimpson","Timepoint_Factor:Arm_Factor",2,13,1.13276644939051,0.351968654612644,0.649788285438727,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","SDI_Equal_Balance","Timepoint_Factor",2,13,0.44678186152825,0.649146944861091,0.973720417291637,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","SDI_Equal_Balance","Arm_Factor",1,7,1.40356247895845,0.274787373960963,0.649788285438727,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","SDI_Equal_Balance","Timepoint_Factor:Arm_Factor",2,13,0.00327575593912539,0.996730425949242,0.996730425949242,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","SDI_MetaWeighted_Balance","Timepoint_Factor",2,13,0.20789471245179,0.814941202702403,0.996730425949242,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","SDI_MetaWeighted_Balance","Arm_Factor",1,7,1.13354323816016,0.322361831257394,0.649788285438727,26,9,"PASS"
"Intervention support","T04_PRJNA430161_Intervention","SDI_MetaWeighted_Balance","Timepoint_Factor:Arm_Factor",2,13,0.0159705761691348,0.984175554989049,0.996730425949242,26,9,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_Observed","Timepoint_Factor",2,34,0.112654147739514,0.893791703188144,0.983170873506958,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_Observed","Status_Factor",1,18,0.0245358376118233,0.877272723115411,0.983170873506958,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_Observed","Timepoint_Factor:Status_Factor",2,34,3.94241692619739,0.0288520077472045,0.282803210043676,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_Shannon","Timepoint_Factor",2,34,1.03990551116935,0.364459495189706,0.763257116542519,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_Shannon","Status_Factor",1,18,2.55249184945965,0.127526469174741,0.526046685345806,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_Shannon","Timepoint_Factor:Status_Factor",2,34,5.38352189980712,0.00930783138653291,0.266298941103758,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_InverseSimpson","Timepoint_Factor",2,34,2.42705050911853,0.103446281741453,0.487675328209707,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_InverseSimpson","Status_Factor",1,18,5.24647806590003,0.0342791769749911,0.282803210043676,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","Alpha_InverseSimpson","Timepoint_Factor:Status_Factor",2,34,4.67042464443299,0.0161393297638641,0.266298941103758,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","SDI_Equal_Balance","Timepoint_Factor",2,34,0.135814567861256,0.873475740466307,0.983170873506958,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","SDI_Equal_Balance","Status_Factor",1,18,0.000137882892106743,0.990760341017316,0.990760341017316,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","SDI_Equal_Balance","Timepoint_Factor:Status_Factor",2,34,0.85760754473858,0.433147688097322,0.763257116542519,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","SDI_MetaWeighted_Balance","Timepoint_Factor",2,34,0.206631278961784,0.814333262056828,0.983170873506958,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","SDI_MetaWeighted_Balance","Status_Factor",1,18,0.0026282904046317,0.959677523748567,0.98966744636571,58,20,"PASS"
"Cholestasis longitudinal support","T06_PRJNA912621_Cholestasis_Longitudinal","SDI_MetaWeighted_Balance","Timepoint_Factor:Status_Factor",2,34,0.942171574098388,0.399720638498465,0.763257116542519,58,20,"PASS"
