"Check","PASS","Observed","Expected"
"Figure1 raw",TRUE,"197","197"
"Figure1 unique",TRUE,"143","143"
"Figure1 excluded",TRUE,"126","126"
"Figure1 eligible",TRUE,"17","17"
"Figure1 locked recovered",TRUE,"6","6"
"Figure1 added eligible",TRUE,"11","11"
"Figure1 known item",TRUE,"1","1"
"Figure1 final set",TRUE,"7","7"
"Figure1 pending",TRUE,"0","0"
"Figure2A rows",TRUE,"4","4"
"Figure2A A01 R2",TRUE,"0.0146546866111805","0.014655"
"Figure2A A02 R2",TRUE,"0.0537088210014124","0.053709"
"Figure2A A03 R2",TRUE,"0.144852969113854","0.144853"
"Figure2A A06 R2",TRUE,"0.131132215666042","0.131132"
"Development pooled AUC",TRUE,"0.731212607617102","0.731213"
"A04 external AUC",TRUE,"0.200980392156863","0.20098"
"A05 external AUC",TRUE,"0.271604938271605","0.271605"
"Figure3B reversal count",TRUE,"4","4"
"Figure3B absence count",TRUE,"2","2"
"Figure3B exact genus-status mapping",TRUE,"Bilophila Reversed; Butyricimonas Reversed; Parabacteroides Reversed; Hoylesella Reversed; Campylobacter Absent; Atopobium Absent","Bilophila Reversed; Butyricimonas Reversed; Parabacteroides Reversed; Hoylesella Reversed; Campylobacter Absent; Atopobium Absent"
"Figure4B uses mean source",TRUE,"2.179316 | 1.927279 | 1.615723","finite Mean + SE"
"Figure4C group N",TRUE,"Day 1|No 10; Day 1|Yes 10; Day 3|No 10; Day 3|Yes 10; Day 7|No 9; Day 7|Yes 9","Day 1|No 10; Day 1|Yes 10; Day 3|No 10; Day 3|Yes 10; Day 7|No 9; Day 7|Yes 9"
"Figure4C Day7 direction",TRUE,"No=3.002; Yes=1.455","No > Yes"
"Figure4C interaction FDR",TRUE,"0.266","0.266"
