"Analysis_Set","Project_ID","Analysis_Family","Model_Use","Project_Role","Samples_N","Unique_Patients_N","Groups_N","Group_Summary","Minimum_Depth","Median_Depth","Maximum_Depth","Manuscript_Role"
"A01_PRJEB33360_Sepsis_vs_NonSepsisICU","PRJEB33360","Primary ICU case-control","Development","Core discovery",146,146,2,"Non-sepsis ICU=79; Sepsis=67",5885,25265,45432,"Primary ICU-control discovery"
"A02_PRJNA691455_Sepsis_vs_NonSepsisICU","PRJNA691455","Primary ICU case-control","Development","Core discovery",20,20,2,"Non-sepsis ICU=10; Sepsis=10",27184,51210,67568,"Primary ICU-control discovery"
"A03_PRJNA691455_Sepsis_vs_Healthy","PRJNA691455","Secondary healthy-control comparison","Development","Secondary discovery",20,20,2,"Healthy=10; Sepsis=10",36503,56015.5,80294,"Healthy-control supplementary discovery"
"A04_PRJNA1010969_External_Sepsis_vs_Healthy","PRJNA1010969","Locked external validation","Locked_external_test","External validation",35,35,2,"Healthy=17; Sepsis=18",16293,36204,76961,"Locked external validation"
"A05_PRJNA1010969_External_Sepsis_vs_Trauma","PRJNA1010969","Locked external validation","Locked_external_test","External validation",36,36,2,"Sepsis=18; Trauma=18",19970,35152,71887,"Locked external validation"
"A06_PRJNA978257_Sepsis_vs_Healthy","PRJNA978257","Primary healthy-control comparison","Development","Core discovery",13,13,2,"Healthy=7; Sepsis=6",22691,32084,50154,"Healthy-control supplementary discovery"
"S01_PRJEB33360_Longitudinal_Main_ge1000","PRJEB33360","Longitudinal support","Not_for_model","Longitudinal support",91,43,4,"M2.5_ICU_day5=34; M2.6_ICU_day6=26; M2.7_ICU_day7=28; M3_discharge=3",3309,23281,70173,"Longitudinal/supportive"
"S02_PRJEB33360_Longitudinal_Sensitivity_ge5000","PRJEB33360","Longitudinal sensitivity","Not_for_model","Longitudinal sensitivity",88,43,4,"M2.5_ICU_day5=34; M2.6_ICU_day6=25; M2.7_ICU_day7=26; M3_discharge=3",6388,23690.5,70173,"Longitudinal/supportive"
"S03_PRJNA691455_Sepsis_Longitudinal","PRJNA691455","Longitudinal support","Not_for_model","Longitudinal support",29,10,3,"Day 1=10; Day 3=9; Day 7=10",26366,47008,67568,"Longitudinal/supportive"
"S04_PRJNA430161_Intervention_Longitudinal","PRJNA430161","Intervention/longitudinal support","Not_for_model","Intervention support",26,9,3,"Baseline=9; Day 28=8; Day 7=9",15564,28891.5,62020,"Longitudinal/supportive"
"S05_PRJNA797231_Organ_Dysfunction","PRJNA797231","Organ dysfunction support","Not_for_model","Organ dysfunction support",34,34,2,"No=16; Yes=18",8559,22205,37314,"Longitudinal/supportive"
"S06_PRJNA912621_Cholestasis_Longitudinal","PRJNA912621","Cholestasis longitudinal support","Not_for_model","Cholestasis longitudinal support",58,20,6,"No | Day 1=10; No | Day 3=10; No | Day 7=9; Yes | Day 1=10; Yes | Day 3=10; Yes | Day 7=9",20513,39424.5,68695,"Longitudinal/supportive"
