"Check","Passed","Status","Observed","Expected"
"S1 contains exactly A01-A06 once each",TRUE,"PASS","A01, A02, A03, A04, A05, A06","A01, A02, A03, A04, A05, A06"
"S1 sample counts match frozen values",TRUE,"PASS","A01=146; A02=20; A03=20; A04=35; A05=36; A06=13","A01=146; A02=20; A03=20; A04=35; A05=36; A06=13"
"S1 median sequencing depths match frozen values",TRUE,"PASS","A01=25265; A02=51210; A03=56015.5; A04=36204; A05=35152; A06=32084","A01=25265; A02=51210; A03=56015.5; A04=36204; A05=35152; A06=32084"
"S1 development/external stage mapping is correct",TRUE,"PASS","A01=Development; A02=Development; A03=Development; A04=External validation; A05=External validation; A06=Development","A01=Development; A02=Development; A03=Development; A04=External validation; A05=External validation; A06=Development"
"S2 has 4 analysis sets x 3 alpha metrics",TRUE,"PASS","12","12"
"S2 contains every expected set-metric combination exactly once",TRUE,"PASS","A01|Inverse_Simpson; A01|Observed_Genus_Richness; A01|Shannon; A02|Inverse_Simpson; A02|Observed_Genus_Richness; A02|Shannon; A03|Inverse_Simpson; A03|Observed_Genus_Richness; A03|Shannon; A06|Inverse_Simpson; A06|Observed_Genus_Richness; A06|Shannon","A01|Inverse_Simpson; A01|Observed_Genus_Richness; A01|Shannon; A02|Inverse_Simpson; A02|Observed_Genus_Richness; A02|Shannon; A03|Inverse_Simpson; A03|Observed_Genus_Richness; A03|Shannon; A06|Inverse_Simpson; A06|Observed_Genus_Richness; A06|Shannon"
"S2 mean differences and descriptive CIs are finite and ordered",TRUE,"PASS","valid rows=12/12","12/12"
"S2 Wilcoxon FDR values are finite",TRUE,"PASS","finite rows=12/12","12/12"
"S2 anchor: A01 observed mean difference",TRUE,"PASS","5.74589079916871","5.745891 ± 5e-6"
"S2 anchor: A03 Shannon mean difference",TRUE,"PASS","-0.496934995108126","-0.4969 ± 5e-4"
"S3 has 4 datasets x 6 omitted genera",TRUE,"PASS","24","24"
"S3 contains every expected set-genus combination exactly once",TRUE,"PASS","A01|Atopobium; A01|Bilophila; A01|Butyricimonas; A01|Campylobacter; A01|Hoylesella; A01|Parabacteroides; A02|Atopobium; A02|Bilophila; A02|Butyricimonas; A02|Campylobacter; A02|Hoylesella; A02|Parabacteroides; A04|Atopobium; A04|Bilophila; A04|Butyricimonas; A04|Campylobacter; A04|Hoylesella; A04|Parabacteroides; A05|Atopobium; A05|Bilophila; A05|Butyricimonas; A05|Campylobacter; A05|Hoylesella; A05|Parabacteroides","A01|Atopobium; A01|Bilophila; A01|Butyricimonas; A01|Campylobacter; A01|Hoylesella; A01|Parabacteroides; A02|Atopobium; A02|Bilophila; A02|Butyricimonas; A02|Campylobacter; A02|Hoylesella; A02|Parabacteroides; A04|Atopobium; A04|Bilophila; A04|Butyricimonas; A04|Campylobacter; A04|Hoylesella; A04|Parabacteroides; A05|Atopobium; A05|Bilophila; A05|Butyricimonas; A05|Campylobacter; A05|Hoylesella; A05|Parabacteroides"
"S3 project-level absent genera are exactly the frozen four combinations",TRUE,"PASS","A04|Atopobium; A04|Campylobacter; A05|Atopobium; A05|Campylobacter","A04|Atopobium; A04|Campylobacter; A05|Atopobium; A05|Campylobacter"
"S3 present genera have finite equal-weight ΔAUC",TRUE,"PASS","finite present rows=20","20"
"S3 common y-axis contains all frozen ΔAUC values",TRUE,"PASS","min=-0.040000; max=0.106209","within [-0.05, 0.11]"
"S3 anchor: A01 Bilophila ΔAUC",TRUE,"PASS","-0.0120914415265445","-0.012091 ± 5e-6"
"S3 anchor: A04 Bilophila ΔAUC",TRUE,"PASS","0.106209150326797","0.106209 ± 5e-6"
